0	1	2	3
zombados	-0.8	0.87178	[-2, -1, -2, 0, 0, -1, -1, -1, 1, -1]
ridiculariza	-1.0	1.0	[-1, -2, -2, 0, 0, 1, -1, -2, -1, -2]
zombaria	-1.5	0.80623	[-2, -2, 0, 0, -2, -1, -2, -2, -2, -2]
zombaria	-1.2	1.249	[-1, -2, -2, -2, -1, -1, 1, 1, -3, -2]
desejável	1.3	0.45826	[2, 1, 1, 1, 1, 1, 1, 2, 2, 1]
desejo	1.7	0.78102	[1, 1, 2, 1, 3, 3, 1, 2, 2, 1]
desejado	1.1	1.04403	[1, 1, 0, 3, 1, 0, 1, 1, 3, 0]
desejoso	1.3	0.64031	[1, 2, 1, 2, 2, 1, 2, 1, 0, 1]
desespero	-1.3	1.9	[2, -1, -3, -1, -3, 1, -3, 1, -3, -3]
desesperado	-2.7	0.45826	[-2, -2, -3, -3, -3, -3, -3, -2, -3, -3]
desesperador	-1.3	1.1	[-2, -2, -1, -3, -2, 1, -1, -1, 0, -2]
desesperados	-1.3	1.00499	[-2, -1, -1, 1, -2, -1, -2, -1, -1, -3]
desesperada	-2.3	0.64031	[-2, -1, -3, -2, -3, -2, -2, -2, -3, -3]
desesperadamente	-2.2	0.74833	[-2, -2, -2, -2, -4, -2, -3, -1, -2, -2]
desespero	-2.7	1.00499	[-3, -4, -1, -3, -4, -2, -1, -3, -3, -3]
desesperado	-1.3	1.34536	[-2, -1, -2, 1, -1, -2, -3, -3, -1, 1]
desesperadamente	-1.6	1.11355	[-3, -3, -2, -1, -2, -1, -2, -2, -1, 1]
desespero	-1.5	1.36015	[-1, -2, -2, -2, -3, -3, 1, -2, 1, -2]
desespero	-2.0	1.0	[-2, -1, -1, -2, -3, -3, -1, -4, -1, -2]
desespero	-2.2	1.66132	[-1, -4, -2, -4, -4, -1, -1, -2, 1, -4]
desprezar	-1.4	1.35647	[-2, -3, -1, -2, -1, 1, -3, 1, -2, -2]
desprezado	-1.7	1.48661	[-2, -1, -3, -2, -3, 1, -3, 1, -2, -3]
desprezo	-2.4	0.91652	[-3, -3, -2, -1, -3, -1, -4, -2, -2, -3]
desprezo	-2.5	1.0247	[-2, -2, -3, -2, 0, -3, -4, -3, -3, -3]
desprezador	-1.8	1.07703	[-2, -1, -3, 1, -2, -2, -3, -2, -2, -2]
desprezadores	-1.6	1.35647	[-3, -3, -1, -3, -2, -1, -1, 1, 0, -3]
despreza	-2.0	1.26491	[-3, -1, -3, 1, -2, -1, -3, -2, -3, -3]
desprezando	-2.7	0.9	[-4, -3, -3, -4, -1, -2, -3, -2, -2, -3]
desanimado	-2.1	0.53852	[-2, -2, -2, -3, -2, -2, -1, -3, -2, -2]
destruir	-2.5	0.67082	[-2, -3, -3, -1, -3, -3, -3, -2, -2, -3]
destruído	-2.2	0.87178	[-1, -3, -3, -2, -1, -2, -1, -3, -3, -3]
contratorpedeiro	-2.0	0.89443	[-2, -3, -3, -3, -1, -2, -2, -2, 0, -2]
destruidores	-2.3	0.78102	[-1, -3, -3, -3, -2, -2, -3, -3, -1, -2]
destruindo	-2.6	0.91652	[-2, -4, -4, -2, -1, -3, -2, -3, -2, -3]
destrói	-2.6	0.4899	[-3, -3, -3, -2, -2, -2, -3, -3, -2, -3]
destruir	-2.4	0.4899	[-3, -3, -3, -2, -2, -2, -3, -2, -2, -2]
destruído	-1.9	1.04403	[-4, -1, -2, -2, -2, -1, -3, -2, 0, -2]
destrutibilidade	-1.8	1.07703	[-1, -2, -1, -1, -2, -3, -2, 0, -4, -2]
destrutível	-1.5	1.11803	[-2, -2, -2, -1, 1, -1, -3, -1, -3, -1]
destruindo	-2.5	0.67082	[-2, -3, -2, -3, -2, -2, -2, -3, -2, -4]
destruição	-2.7	0.9	[-4, -3, -4, -3, -2, -2, -3, -1, -2, -3]
destrucionista	-2.6	0.8	[-3, -4, -2, -2, -2, -3, -3, -1, -3, -3]
destruidores	-2.1	0.53852	[-3, -1, -2, -2, -3, -2, -2, -2, -2, -2]
destruições	-2.3	0.78102	[-3, -2, -2, -2, -1, -3, -4, -2, -2, -2]
destrutivo	-3.0	0.63246	[-3, -4, -3, -2, -3, -3, -3, -2, -4, -3]
destrutivamente	-2.4	0.91652	[-2, -3, -1, -4, -2, -3, -3, -3, -1, -2]
destrutividade	-2.4	0.91652	[-3, -3, -2, -4, -1, -2, -3, -2, -1, -3]
destrutividade	-2.2	1.53623	[2, -3, -3, -4, -3, -2, -2, -2, -2, -3]
destructs	-2.4	0.91652	[-2, -1, -2, -4, -4, -2, -3, -2, -2, -2]
destacado	-0.5	1.20416	[-1, 2, -1, -1, -2, 0, 1, -2, -1, 0]
deter	-1.8	0.9798	[-3, -1, -2, -2, -4, -2, -1, -1, -1, -1]
detido	-1.7	0.9	[-1, -1, -1, -1, -1, -2, -2, -2, -2, -4]
detenção	-1.5	0.67082	[-1, -2, -1, -2, -1, -1, -3, -2, -1, -1]
determinável	0.9	0.7	[2, 1, 1, 1, 0, 1, 2, 0, 0, 1]
determinablidade	0.2	1.07703	[0, 0, 0, 1, 0, 1, -1, 2, -2, 1]
determinavelmente	0.9	0.83066	[2, 0, 1, 1, 0, 1, 2, 2, 0, 0]
determinação	1.0	1.0	[0, 0, 0, 3, 1, 1, 2, 1, 0, 2]
determinante	0.2	0.6	[0, 1, -1, 0, 1, 1, 0, 0, 0, 0]
determinante	-0.3	1.41774	[0, 0, 0, -4, 0, -1, 0, 0, 2, 0]
determinar	0.8	0.87178	[2, 1, 0, 0, 0, 2, 2, 0, 1, 0]
determinadamente	1.2	0.6	[1, 2, 0, 1, 1, 1, 2, 1, 2, 1]
determinabilidade	1.1	0.9434	[1, 1, 1, 0, 0, 2, 3, 1, 0, 2]
determinação	1.7	0.78102	[2, 3, 1, 1, 1, 2, 1, 1, 2, 3]
determinações	0.8	1.16619	[0, 3, 1, 0, 1, 3, 0, 0, 0, 0]
determinantes	1.1	1.04403	[2, 0, 3, 2, 1, 1, 0, 0, 2, 0]
determinantes	0.9	1.3	[2, 0, -2, 1, 2, 2, 2, 0, 0, 2]
determinante	1.1	1.04403	[3, 0, 1, 0, 1, 0, 2, 2, 0, 2]
determinado	1.4	1.35647	[-2, 1, 3, 2, 2, 2, 3, 1, 1, 1]
devastar	-3.1	0.9434	[-4, -4, -1, -4, -4, -3, -3, -3, -2, -3]
devastado	-3.0	0.89443	[-4, -3, -3, -4, -3, -1, -3, -4, -3, -2]
devastadores	-2.8	0.9798	[-4, -3, -2, -4, -2, -1, -3, -4, -3, -2]
devastador	-3.3	0.9	[-4, -3, -4, -4, -1, -4, -3, -3, -3, -4]
de forma devastadora	-2.4	1.28062	[-3, -4, -3, 0, -3, 0, -2, -3, -3, -3]
devastação	-1.8	2.13542	[-1, -1, -3, -3, -4, -3, -4, 2, 2, -3]
devastações	-1.9	1.92094	[-3, -3, -2, -2, 1, -1, 2, -4, -4, -3]
devastador	-3.2	1.16619	[-4, -3, 0, -4, -4, -3, -3, -4, -3, -4]
devastador	-2.8	0.74833	[-3, -3, -2, -2, -3, -2, -3, -4, -2, -4]
devastadores	-2.9	1.22066	[-3, -2, -3, -4, -4, -4, 0, -3, -2, -4]
diabo	-3.4	0.8	[-4, -3, -4, -4, -4, -4, -2, -3, -2, -4]
deviled	-1.6	1.0198	[-1, -2, 0, -4, -1, -2, -2, -2, -1, -1]
devilfish	-0.8	1.07703	[-2, -3, -1, 0, 0, 0, 0, -2, 0, 0]
devilfishes	-0.6	1.0198	[-3, 0, -2, 0, 0, 0, 0, -1, 0, 0]
deviling	-2.2	0.87178	[-1, -3, -1, -2, -3, -2, -2, -4, -2, -2]
diabólico	-2.1	1.04403	[-1, -2, -4, -1, -1, -2, -2, -4, -2, -2]
diabolicamente	-1.6	0.8	[-2, -2, -3, -1, -2, -2, 0, -2, -1, -1]
diabolismo	-2.3	0.9	[-4, -1, -4, -2, -2, -2, -2, -2, -2, -2]
diabinho	-2.4	0.91652	[-3, -1, -2, -3, -2, -4, -2, -3, -3, -1]
devilled	-2.3	1.1	[-3, -1, -2, -3, 0, -4, -2, -3, -2, -3]
devilling	-1.8	1.249	[-3, -1, -1, -2, -2, -3, -4, -2, 0, 0]
diabo	-1.9	0.9434	[-2, -1, -2, -1, -3, -2, -2, -1, -1, -4]
demónios	-1.1	0.7	[-2, -1, -2, -2, -1, 0, 0, -1, -1, -1]
demónios	-1.6	1.35647	[-1, -1, -2, -4, -3, 0, -2, 0, 0, -3]
diabo	-2.8	1.249	[-4, -3, 0, -2, -2, -2, -3, -4, -4, -4]
demónios	-2.7	0.9	[-3, -1, -3, -2, -2, -3, -4, -3, -2, -4]
deviltries	-1.5	1.11803	[-1, -2, 1, -2, 0, -2, -2, -3, -2, -2]
diabolismo	-2.8	1.32665	[-4, -4, -3, -3, -3, -3, 1, -3, -3, -3]
devilwood	-0.8	1.07703	[0, -1, -2, 0, 0, 0, 0, -3, -2, 0]
devilwoods	-1.0	0.7746	[-2, 0, -2, -1, -1, 0, -1, -2, 0, -1]
devotar	1.4	1.28062	[3, 0, 2, -1, 0, 3, 2, 2, 1, 2]
dedicado	1.7	1.34536	[2, -1, 3, 2, 1, 0, 1, 3, 3, 3]
devotadamente	1.6	1.35647	[1, 1, 2, 2, 3, 2, 2, -2, 2, 3]
devotamento	2.0	1.0	[0, 3, 2, 1, 3, 2, 2, 3, 1, 3]
devoto	1.6	1.11355	[1, 3, 0, 2, 1, 2, 1, 1, 4, 1]
devotos	0.5	1.0247	[0, 0, 3, 0, 0, 0, 2, 0, 0, 0]
devoção	1.5	1.36015	[2, -1, 3, 2, -1, 1, 2, 3, 2, 2]
devaneios	1.1	1.04403	[0, 1, 0, 0, 0, 2, 2, 2, 3, 1]
dedica	1.6	0.91652	[2, 3, 0, 2, 2, 3, 1, 1, 1, 1]
devotando	2.1	0.7	[2, 2, 3, 1, 2, 3, 2, 3, 1, 2]
devoção	2.0	1.0	[2, 0, 1, 2, 4, 3, 2, 2, 2, 2]
devoto	1.2	1.16619	[0, 1, 0, 2, 2, 1, 0, 0, 3, 3]
devocionalmente	2.2	0.4	[2, 2, 2, 3, 2, 3, 2, 2, 2, 2]
devaneios	1.2	1.07703	[3, 1, 1, 0, -1, 2, 2, 2, 1, 1]
devoções	1.8	0.74833	[2, 3, 1, 2, 1, 3, 1, 2, 1, 2]
diamante	1.4	1.42829	[0, 0, 2, 0, 1, 3, 1, 3, 0, 4]
pila	-2.3	1.18743	[-2, -3, -4, -2, 0, -4, -2, -1, -3, -2]
cabeça de pila	-3.1	0.53852	[-4, -3, -3, -3, -4, -2, -3, -3, -3, -3]
morrer	-2.9	0.9434	[-4, -3, -1, -2, -4, -3, -3, -3, -2, -4]
morreu	-2.6	1.28062	[-3, -1, -3, -4, -2, -4, -3, -4, -2, 0]
difícil	-1.5	0.5	[-2, -2, -1, -1, -2, -1, -1, -2, -1, -2]
dificuldades	-1.2	0.4	[-1, -2, -1, -1, -1, -2, -1, -1, -1, -1]
dificilmente	-1.7	0.45826	[-1, -2, -1, -2, -2, -1, -2, -2, -2, -2]
dificuldade	-1.4	0.66332	[-2, -2, -2, -2, 0, -1, -1, -2, -1, -1]
difidente	-1.0	0.44721	[-1, -1, -1, -1, -1, 0, -2, -1, -1, -1]
dignificante	2.2	0.6	[1, 2, 2, 2, 3, 3, 3, 2, 2, 2]
dignifica	2.0	0.7746	[1, 3, 2, 2, 3, 3, 2, 2, 1, 1]
dignificar	1.8	0.74833	[1, 2, 2, 1, 3, 3, 1, 2, 2, 1]
dignificante	2.1	1.04403	[1, 1, 1, 3, 1, 4, 2, 3, 2, 3]
dignitários	0.6	0.91652	[0, 0, 1, 0, 0, 0, 3, 0, 1, 1]
dignitário	1.9	1.3	[0, 3, 4, 2, 3, 1, 1, 3, 0, 2]
dignidades	1.4	0.66332	[1, 2, 1, 1, 3, 2, 1, 1, 1, 1]
dignidade	1.7	0.9	[0, 3, 2, 1, 2, 1, 2, 3, 1, 2]
dilema	-0.7	1.48661	[2, -1, -2, -2, -1, -1, 2, 0, -2, -2]
dipshit	-2.1	0.7	[-1, -2, -2, -3, -2, -3, -3, -2, -2, -1]
terrível	-2.0	1.26491	[-2, -3, -3, -2, -3, -1, -1, 1, -3, -3]
terrível	-3.1	0.83066	[-3, -3, -3, -3, -4, -1, -4, -3, -4, -3]
sujidade	-1.4	0.91652	[-1, -1, -1, 0, -3, -1, -1, -2, -3, -1]
dirtier	-1.4	0.4899	[-2, -1, -1, -2, -1, -2, -1, -1, -2, -1]
dirtiest	-2.4	1.0198	[-4, -3, -2, -1, -2, -3, -1, -2, -4, -2]
sujo	-1.9	0.83066	[-2, -1, -1, -1, -2, -2, -1, -3, -3, -3]
desactivação	-2.1	0.53852	[-2, -1, -3, -3, -2, -2, -2, -2, -2, -2]
desvantagem	-1.8	0.4	[-2, -2, -1, -2, -2, -1, -2, -2, -2, -2]
desfavorecidos	-1.7	0.64031	[-2, -2, -3, -1, -2, -2, -2, -1, -1, -1]
desvantajoso	-1.8	0.74833	[-1, -2, -2, -1, -3, -1, -1, -2, -3, -2]
desvantajosamente	-2.1	0.83066	[-2, -4, -1, -2, -1, -2, -2, -2, -3, -2]
desvantagem	-1.6	0.66332	[-1, -1, -3, -2, -1, -1, -2, -1, -2, -2]
desvantagens	-1.7	0.64031	[-2, -2, -3, -1, -2, -2, -2, -1, -1, -1]
discordar	-1.6	0.4899	[-1, -2, -1, -1, -2, -2, -2, -2, -1, -2]
desagradável	-1.7	0.64031	[-1, -2, -1, -1, -1, -2, -2, -2, -3, -2]
discordância	-1.7	0.64031	[-1, -1, -2, -2, -1, -2, -3, -1, -2, -2]
discordâncias	-1.9	0.9434	[-2, 0, -3, -1, -2, -3, -2, -1, -3, -2]
desagradavelmente	-1.5	0.67082	[-3, -2, -1, -1, -1, -2, -1, -2, -1, -1]
discordou	-1.3	0.64031	[-1, -2, -1, -1, -2, 0, -1, -2, -1, -2]
em desacordo	-1.4	0.8	[-1, 0, -1, -2, -2, -1, -3, -1, -1, -2]
desacordo	-1.5	0.67082	[-2, -1, -1, -1, -1, -1, -1, -3, -2, -2]
desacordos	-1.8	0.6	[-2, -3, -1, -2, -2, -1, -2, -2, -1, -2]
discorda	-1.3	0.45826	[-1, -2, -1, -1, -1, -1, -1, -2, -1, -2]
desaparecer	-0.9	0.7	[-2, -1, 0, 0, -2, -1, -1, -1, 0, -1]
desapareceu	-0.9	0.7	[-2, 0, -1, -1, 0, 0, -2, -1, -1, -1]
desaparece	-1.4	0.8	[-2, -2, 0, 0, -2, -1, -2, -1, -2, -2]
decepcionar	-1.7	0.64031	[-1, -1, -1, -3, -2, -2, -2, -1, -2, -2]
desapontado	-2.1	0.83066	[-1, -3, -2, -2, -3, -1, -1, -2, -3, -3]
decepcionantemente	-1.7	0.78102	[-3, -1, -3, -1, -2, -1, -1, -2, -2, -1]
decepcionante	-2.2	0.6	[-1, -2, -2, -3, -3, -2, -2, -2, -3, -2]
decepcionantemente	-1.9	0.7	[-2, -1, -1, -3, -2, -3, -2, -2, -1, -2]
decepção	-2.3	1.00499	[-3, -1, -4, -1, -3, -1, -3, -2, -2, -3]
decepções	-2.0	1.09545	[-1, -2, -4, -3, -2, -2, -3, 0, -2, -1]
desilude	-1.6	0.4899	[-2, -1, -1, -1, -2, -1, -2, -2, -2, -2]
catástrofe	-3.1	0.83066	[-2, -4, -4, -3, -3, -2, -4, -3, -2, -4]
catástrofes	-2.6	0.8	[-2, -2, -3, -1, -3, -3, -2, -4, -3, -3]
desastroso	-2.9	0.53852	[-2, -2, -3, -3, -3, -3, -4, -3, -3, -3]
desacredite	-1.2	0.87178	[-1, -2, -1, -2, -1, 0, 0, -1, -3, -1]
descarte	-1.0	0.44721	[-1, -1, -1, -1, 0, -1, -1, -1, -2, -1]
descartado	-1.4	0.91652	[-1, -1, -1, -1, 0, -1, -2, -3, -3, -1]
descartando	-0.7	0.45826	[-1, 0, -1, -1, -1, 0, -1, 0, -1, -1]
descartes	-1.0	0.63246	[0, -1, -1, -1, -2, 0, -2, -1, -1, -1]
desconforto	-1.8	0.6	[-2, -2, -2, -1, -1, -3, -2, -2, -1, -2]
desconfortável	-1.6	0.8	[-1, -1, -1, -2, -3, -1, -2, -1, -3, -1]
desconfortável	-1.6	0.8	[-1, -1, -1, -2, -3, -3, -1, -1, -1, -2]
incómodo	-1.6	1.11355	[-1, -2, -1, -1, -2, 1, -3, -2, -3, -2]
desconforto	-1.3	0.9	[-2, -1, -2, -1, -1, -2, -2, -1, 1, -2]
disconsolate	-2.3	0.78102	[-1, -2, -2, -3, -2, -2, -2, -4, -3, -2]
desconsolação	-1.7	0.45826	[-2, -2, -1, -2, -1, -1, -2, -2, -2, -2]
descontente	-1.8	0.9798	[-1, -3, -1, -2, -4, -2, -1, -2, -1, -1]
discórdia	-1.7	0.64031	[-3, -2, -2, -2, -2, -1, -1, -1, -1, -2]
com desconto	0.2	1.249	[-1, 0, 3, -1, 0, 1, 1, 1, -1, -1]
desencorajar	-1.8	0.6	[-2, -2, -1, -2, -1, -1, -2, -2, -3, -2]
desencorajável	-1.2	0.9798	[-1, -2, -1, 1, -1, -1, -1, -2, -3, -1]
desencorajado	-1.7	0.45826	[-2, -1, -2, -2, -2, -2, -1, -1, -2, -2]
desânimo	-2.0	0.89443	[-4, -1, -2, -2, -1, -1, -3, -2, -2, -2]
desencorajamentos	-1.8	0.6	[-2, -2, -2, -1, -1, -3, -2, -1, -2, -2]
desencorajador	-1.7	0.78102	[-2, -1, -3, -2, -1, -3, -1, -2, -1, -1]
desencorajadores	-1.9	0.53852	[-2, -2, -2, -2, -1, -1, -3, -2, -2, -2]
desencoraja	-1.9	0.53852	[-2, -1, -2, -2, -2, -2, -1, -3, -2, -2]
desencorajando	-1.9	0.7	[-2, -2, -2, -3, -1, -1, -2, -1, -2, -3]
desanimadoramente	-1.8	0.87178	[-2, -1, -3, -1, -1, -3, -2, -1, -3, -1]
desacreditado	-1.9	0.53852	[-2, -2, -2, -2, -1, -3, -1, -2, -2, -2]
desdém	-2.1	0.3	[-3, -2, -2, -2, -2, -2, -2, -2, -2, -2]
vergonha	-2.2	0.74833	[-2, -4, -1, -2, -2, -2, -2, -3, -2, -2]
desonrado	-2.0	0.44721	[-3, -2, -2, -2, -1, -2, -2, -2, -2, -2]
disfarce	-1.0	1.09545	[-2, -1, 0, 0, 0, 0, -3, -2, -2, 0]
disfarçado	-1.1	1.04403	[-3, 0, 0, -1, -1, 0, -3, -1, -1, -1]
disfarces	-1.0	0.63246	[-2, 0, 0, -1, -1, -1, -2, -1, -1, -1]
disfarçando	-1.3	0.78102	[0, -2, -1, -1, -1, -2, -1, -1, -3, -1]
repugnância	-2.9	0.7	[-3, -3, -4, -2, -3, -3, -4, -2, -3, -2]
enojado	-2.4	0.91652	[-4, -3, -3, -1, -3, -1, -2, -2, -2, -3]
enojadamente	-3.0	0.89443	[-2, -3, -4, -4, -2, -4, -4, -2, -3, -2]
repugnante	-2.6	0.4899	[-3, -3, -2, -2, -2, -2, -3, -3, -3, -3]
nojento	-2.4	1.11355	[-3, -2, -3, -4, -1, -3, -1, -4, -1, -2]
nojentamente	-2.9	0.7	[-3, -3, -4, -3, -3, -2, -2, -4, -2, -3]
repugnância	-2.1	0.53852	[-2, -2, -3, -2, -2, -2, -2, -3, -1, -2]
desanimar	-2.0	0.63246	[-3, -1, -2, -3, -2, -2, -1, -2, -2, -2]
desanimado	-2.2	0.74833	[-2, -2, -2, -1, -2, -2, -4, -3, -2, -2]
desencorajador	-1.8	1.32665	[-2, -2, -2, -3, -2, 2, -2, -2, -3, -2]
desanimadoramente	-2.0	0.63246	[-2, -3, -2, -1, -2, -2, -2, -3, -2, -1]
desânimo	-2.3	0.45826	[-3, -2, -3, -2, -2, -2, -2, -3, -2, -2]
desânimo	-2.2	0.87178	[-2, -3, -3, -3, -3, -1, -1, -1, -2, -3]
desanima	-2.2	0.4	[-3, -2, -2, -2, -3, -2, -2, -2, -2, -2]
desonesto	-2.7	0.9	[-3, -2, -1, -4, -3, -2, -4, -3, -3, -2]
desilusão	-1.0	1.18322	[-2, 0, -2, -1, -2, 1, -2, -1, 1, -2]
desiludido	-1.9	0.7	[-2, -2, -3, -2, -3, -1, -1, -1, -2, -2]
desiludindo	-1.3	1.00499	[-2, -2, 1, -2, 0, -2, -2, -1, -1, -2]
desilusão	-1.7	0.78102	[-1, -3, -2, -3, -1, -2, -2, -1, -1, -1]
desilusões	-1.5	1.0247	[-2, 1, -3, -2, -1, -1, -2, -1, -2, -2]
desilusões	-1.6	0.4899	[-2, -2, -2, -1, -1, -1, -2, -2, -1, -2]
relutantes	-1.1	0.53852	[0, -1, -1, -1, -1, -1, -1, -2, -2, -1]
desarticulado	-1.3	0.45826	[-1, -1, -2, -1, -1, -2, -1, -2, -1, -1]
não gostar	-1.6	0.4899	[-2, -1, -1, -2, -2, -1, -2, -1, -2, -2]
não gostava	-1.7	0.64031	[-2, -3, -2, -1, -1, -1, -2, -2, -1, -2]
não gosta	-1.7	0.78102	[-2, -2, -1, -1, -2, -1, -3, -3, -1, -1]
não gosto	-1.3	0.45826	[-1, -1, -2, -2, -2, -1, -1, -1, -1, -1]
desanimador	-3.0	1.0	[-2, -1, -4, -4, -3, -2, -3, -4, -4, -3]
desânimo	-1.8	0.87178	[-3, -1, -1, -3, -1, -1, -3, -1, -2, -2]
consternado	-1.9	0.9434	[-1, -2, -1, -3, -4, -1, -2, -2, -1, -2]
desanimador	-2.2	0.9798	[-2, -3, -2, -3, -3, 0, -2, -1, -3, -3]
desanimadoramente	-1.9	0.83066	[-2, -3, -2, -3, -2, -1, -2, -2, 0, -2]
desanima	-1.8	1.07703	[-1, -1, -4, -3, -2, -1, -2, 0, -2, -2]
desordem	-1.7	0.64031	[-2, -1, -1, -2, -2, -1, -3, -1, -2, -2]
desorganizado	-1.2	0.4	[-1, -1, -1, -1, -1, -2, -1, -2, -1, -1]
desorientado	-1.5	0.67082	[-2, -2, -1, 0, -1, -2, -2, -1, -2, -2]
denegrir	-2.0	0.44721	[-2, -2, -2, -1, -2, -2, -2, -3, -2, -2]
desacreditado	-1.4	0.8	[-1, -2, -2, -3, -1, -1, -1, -2, 0, -1]
disparidades	-1.6	0.8	[-1, -2, -3, -2, -1, -1, -2, -2, 0, -2]
denegrir	-2.2	0.6	[-3, -1, -2, -2, -2, -3, -3, -2, -2, -2]
descontente	-1.9	0.7	[-3, -2, -1, -1, -3, -2, -2, -1, -2, -2]
disputa	-1.7	0.78102	[-1, -3, -1, -1, -2, -1, -2, -2, -3, -1]
contestado	-1.4	0.66332	[-2, -2, -2, -2, 0, -1, -1, -1, -1, -2]
disputas	-1.1	1.64012	[-2, -2, -2, 2, -3, -1, -2, 2, -1, -2]
em disputa	-1.7	0.64031	[-2, -2, -2, -2, -1, -1, -3, -1, -1, -2]
desclassificado	-1.8	0.6	[-1, -2, -1, -2, -1, -2, -2, -3, -2, -2]
inquietar	-1.3	0.9	[-1, -2, -2, -1, -1, -1, 1, -2, -2, -2]
desconsideração	-1.1	0.53852	[-1, -1, -2, -1, -1, -2, -1, -1, 0, -1]
desconsiderado	-1.6	0.4899	[-1, -1, -2, -2, -2, -2, -1, -2, -1, -2]
desconsiderando	-0.9	0.53852	[-1, 0, -1, 0, -2, -1, -1, -1, -1, -1]
desconsideração	-1.4	0.4899	[-1, -1, -2, -1, -2, -2, -2, -1, -1, -1]
desrespeito	-1.8	0.6	[-2, -2, -2, -1, -2, -2, -1, -3, -1, -2]
desrespeitado	-2.0	0.63246	[-2, -2, -2, -2, -2, -3, -3, -1, -1, -2]
perturbação	-1.5	0.67082	[-1, -1, -1, -2, -1, -3, -2, -2, -1, -1]
interrupções	-1.4	0.4899	[-1, -2, -1, -1, -1, -2, -2, -2, -1, -1]
disruptiva	-1.3	1.00499	[-4, 0, -1, -1, -1, -1, -1, -1, -2, -1]
insatisfação	-2.2	0.74833	[-4, -2, -2, -2, -1, -3, -2, -2, -2, -2]
insatisfações	-1.9	0.83066	[-1, -3, -3, -1, -2, -1, -2, -2, -1, -3]
insatisfatório	-2.0	0.63246	[-2, -2, -3, -1, -2, -3, -2, -2, -1, -2]
insatisfeito	-1.6	0.66332	[-2, -3, -1, -2, -1, -1, -2, -2, -1, -1]
insatisfações	-1.8	0.74833	[-3, -3, -1, -1, -2, -1, -2, -2, -2, -1]
insatisfeito	-2.2	0.6	[-2, -3, -2, -2, -2, -2, -3, -3, -1, -2]
insatisfatório	-2.4	0.91652	[-3, -1, -4, -3, -2, -1, -2, -2, -3, -3]
distorcer	-1.3	0.45826	[-2, -1, -1, -1, -2, -1, -1, -1, -1, -2]
distorcido	-1.7	0.78102	[-3, -1, -3, -1, -2, -1, -2, -2, -1, -1]
distorcendo	-1.1	0.53852	[0, -1, -1, -1, -2, -1, -1, -1, -2, -1]
distorce	-1.4	0.4899	[-2, -1, -1, -1, -2, -2, -2, -1, -1, -1]
distrair	-1.2	0.6	[-1, -1, 0, -2, -1, -1, -1, -2, -1, -2]
distraccionável	-1.3	1.00499	[-2, 0, 1, -2, -2, -1, -1, -2, -2, -2]
distraído	-1.4	0.66332	[-1, -3, -1, -2, -2, -1, -1, -1, -1, -1]
distraidamente	-0.9	0.7	[-1, -1, 0, -2, -1, 0, -1, 0, -1, -2]
distractibilidade	-1.3	1.1	[-1, -1, -3, -1, 0, -3, -2, 0, -2, 0]
distractivel	-1.5	0.92195	[-1, -2, -1, -1, -4, -1, -1, -1, -2, -1]
distraindo	-1.2	0.4	[-2, -1, -1, -1, -1, -1, -2, -1, -1, -1]
distraidamente	-1.4	1.0198	[-4, 0, -1, -1, -1, -2, -1, -1, -2, -1]
distracção	-1.6	0.66332	[-1, -2, -2, -1, -1, -3, -1, -1, -2, -2]
distracções	-1.0	0.0	[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]
distractivo	-1.6	0.4899	[-2, -2, -1, -1, -1, -1, -2, -2, -2, -2]
distrai	-1.3	0.45826	[-1, -1, -2, -1, -1, -2, -1, -2, -1, -1]
perturbado	-2.6	0.8	[-2, -3, -2, -3, -4, -2, -3, -3, -1, -3]
angústia	-2.4	0.8	[-1, -2, -2, -3, -3, -4, -3, -2, -2, -2]
angustiado	-1.8	0.6	[-2, -2, -2, -3, -2, -2, -1, -1, -2, -1]
angústias	-1.6	0.66332	[-2, -1, -1, -2, -2, -2, -1, -1, -3, -1]
angustiante	-2.2	0.6	[-1, -3, -3, -2, -2, -3, -2, -2, -2, -2]
angustiadamente	-1.7	1.1	[-1, -3, -2, 1, -3, -1, -2, -2, -2, -2]
angústia	-2.4	0.66332	[-2, -3, -2, -3, -3, -3, -2, -1, -3, -2]
angustiante	-1.7	1.18743	[-3, -3, -1, -1, -2, -2, -3, -2, 1, -1]
angustiantemente	-2.2	0.74833	[-3, -1, -2, -3, -3, -3, -2, -2, -2, -1]
desconfiança	-1.8	0.87178	[-1, -2, -2, -2, -1, -1, -2, -4, -1, -2]
desconfiado	-2.4	0.66332	[-1, -3, -3, -3, -2, -2, -3, -2, -2, -3]
desconfiado	-2.1	0.83066	[-1, -3, -2, -2, -3, -1, -1, -3, -2, -3]
desconfiadamente	-1.8	0.6	[-2, -1, -1, -2, -1, -2, -3, -2, -2, -2]
desconfiança	-1.6	0.66332	[-2, -1, -2, -1, -2, -1, -1, -3, -1, -2]
desconfiança	-2.1	0.83066	[-1, -2, -2, -2, -3, -3, -1, -3, -1, -3]
desconfianças	-1.3	0.45826	[-1, -1, -2, -1, -2, -1, -2, -1, -1, -1]
disturb	-1.7	0.45826	[-2, -1, -1, -2, -2, -2, -1, -2, -2, -2]
distúrbios	-1.6	0.8	[-1, -2, -1, -2, -2, -3, -1, -2, 0, -2]
